timestamp,packet_size,duration,src_bytes,dst_bytes,protocol_type,flag,src_port,dst_port,packet_rate,error_rate,label
2025-11-17 04:34:43.823882,488.4770006068712,0.1457438718297607,141.13170022883705,247.6938968542047,2,0,68,44053,0.49198562736717166,15.933163282563694,1
2025-11-17 04:34:53.823880,487.3579413165531,0.060699781217782536,118.95022580162214,265.402386056287,0,3,880,41953,2.8271023817633405,19.702335038607146,1
2025-11-17 04:35:03.823879,579.1557557508316,0.07148598630433586,190.54893039201608,11.663790536884164,2,4,66,32220,0.9348439859046402,19.208036018791958,1
2025-11-17 04:35:13.823878,685.3934806987337,0.01,331.6478810590568,278.27151355055037,2,4,287,27405,1.5365824288839038,17.596731647985667,1
2025-11-17 04:35:23.823876,389.86290825912533,0.05466874683929247,289.7786911689785,109.41903767428798,2,3,270,33752,2.0205624704298275,16.59905817398089,1
2025-11-17 04:35:33.823875,647.4601054358027,0.016654771582964602,118.13065757738592,144.86196667734635,0,4,72,32911,2.7810789812152734,12.627765042527605,1
2025-11-17 04:35:43.823873,493.64884404219407,0.01,331.83298879391225,350.1485815573996,2,2,346,54764,0.3993741568166209,20.696356995985507,1
2025-11-17 04:35:53.823872,546.3804323535882,0.04113120329729848,117.94234444141044,263.01545864682504,2,0,78,59322,0.8347997129467644,23.57277073880504,1
2025-11-17 04:36:03.823871,521.0732134402219,0.05198730298108685,326.930828829185,239.95810747455988,2,5,344,50723,2.4124844627915127,12.047479257016178,1
2025-11-17 04:36:13.823870,443.92229215827007,0.305570127356196,288.30367785308806,252.91835796169258,2,5,16,30595,1.4105526813603075,21.395419347212112,1
2025-11-17 04:36:23.823868,653.3549404673922,0.017037011468465684,139.80183975327336,260.19106061604043,0,0,610,35140,3.0893393093166917,12.470485298038177,1
2025-11-17 04:36:33.823867,360.0990274671377,0.029071211118725588,219.59872420566364,258.21742389905853,2,5,497,23402,2.1079855166860306,13.716727316488509,1
2025-11-17 04:36:43.823866,491.2322733360091,0.017162333292150556,185.62247888309594,106.1977093094342,0,4,832,38394,2.558718837187378,11.346416099506754,1
2025-11-17 04:36:53.823864,531.3585339811706,0.12483317260364515,176.0647377730345,315.34935443403685,0,3,164,12595,2.3737748749022396,13.651301377124538,1
2025-11-17 04:37:03.823863,577.2294699789653,0.043453755829660275,204.1135317212128,339.18058916191006,1,2,1018,55836,0.8423683190711388,11.488752288184283,1
2025-11-17 04:37:13.823862,636.6206672267432,0.11627424673844233,226.54193318466565,173.2323522961213,1,2,569,54117,2.5892001322325893,21.118620212523606,1
